question_id,question_text,question_type,topic,field_date,source_survey,notes
Q037,How worried are you about being able to afford healthcare for you and your family?,numeric_scale,healthcare,2024-08-30,Example Survey,NA
Q038,Please describe in your own words what concerns you most about the direction of the country.,open_end,governance,2024-10-30,Example Survey,NA
Q039,"Do you think police violence against civilians is a very serious problem, somewhat serious problem, or not a serious problem?",single_choice,crime,2024-06-20,Example Survey,NA
Q040,Which of these statements comes closest to your view about government?,single_choice,governance,2024-05-12,Example Survey,NA
Q041,How much have rising prices affected your household finances over the past year?,single_choice,economy,2024-10-12,Example Survey,NA
Q042,Do you support or oppose banning assault-style weapons?,single_choice,guns,2024-04-22,Example Survey,NA
Q043,Which approach to reducing illegal immigration would you prefer?,single_choice,immigration,2024-09-08,Example Survey,NA
Q044,How much do you trust each of the following institutions? The news media,numeric_scale,democracy_trust,2024-03-12,Example Survey,NA
Q045,"On a scale from 0 to 100, how would you rate the current state of the economy?",scale_0_100,economy,2024-10-12,Example Survey,NA
Q046,Do you support or oppose the Affordable Care Act (Obamacare)?,single_choice,healthcare,2024-08-30,Example Survey,NA
Q047,"If Republicans in Congress force a government shutdown over spending disagreements in December 2024, who would you blame more?",single_choice,governance,2024-11-05,Example Survey,NA
Q048,Which of the following best describes your employment status?,single_choice,labor_unions,2024-07-18,Example Survey,NA
Q049,"In your own words, what do you think are the biggest challenges facing young people today?",open_end,other,2024-05-25,Example Survey,NA
Q050,How much confidence do you have in the Supreme Court?,numeric_scale,governance,2024-07-01,Example Survey,NA
Q051,Do you support or oppose requiring public schools to allow transgender students to use bathrooms matching their gender identity?,single_choice,education,2024-06-12,Example Survey,NA
Q052,Which party do you trust more to handle the economy?,single_choice,economy,2024-10-25,Example Survey,NA
Q053,"Should marijuana be legal for recreational use, legal only for medical use, or not be legal at all?",single_choice,other,2024-04-18,Example Survey,NA
Q054,How concerned are you about foreign interference in US elections?,numeric_scale,elections,2024-09-18,Example Survey,NA
Q055,Which energy source should the US prioritize developing?,single_choice,climate,2024-08-14,Example Survey,NA
Q056,Do you approve or disapprove of the way Congress is handling its job?,single_choice,governance,2024-10-28,Example Survey,NA
Q057,How much have you heard about the proposal to expand the Supreme Court from 9 to 13 justices?,single_choice,governance,2024-07-01,Example Survey,NA
Q058,Which of these issues should be the top priority for Congress in 2025? (Select up to three),multi_choice,governance,2024-11-10,Example Survey,NA
Q059,"In your own words, what would make you feel more financially secure?",open_end,economy,2024-10-12,Example Survey,NA
Q060,Do you support or oppose eliminating the Electoral College and electing the president by national popular vote?,single_choice,democracy_trust,2024-05-20,Example Survey,NA
Q061,Which statement is closer to your view about the 2020 presidential election?,single_choice,elections,2024-09-18,Example Survey,NA
Q062,How much do you trust each of the following institutions? Public schools,numeric_scale,education,2024-03-12,Example Survey,NA
Q063,Do you support or oppose providing free community college tuition for all Americans?,single_choice,education,2024-05-18,Example Survey,NA
Q064,Which message about tax policy is more persuasive?,maxdiff_pair,economy,2024-06-25,Example Survey,NA
Q065,How worried are you about you or someone in your family contracting COVID-19?,numeric_scale,healthcare,2024-03-05,Example Survey,NA
Q066,"Do you think the US should increase, decrease, or maintain current levels of military spending?",single_choice,foreign_policy,2024-08-20,Example Survey,NA
Q067,"Rank these healthcare priorities in order of importance, with 1 being most important.",ranking,healthcare,2024-08-30,Example Survey,NA
Q068,How often do you feel that the political system works for people like you?,numeric_scale,democracy_trust,2024-07-22,Example Survey,NA
Q069,"In your own words, what does democracy mean to you?",open_end,democracy_trust,2024-09-28,Example Survey,NA
Q070,Do you support or oppose requiring voter ID at polling places?,single_choice,elections,2024-09-18,Example Survey,NA
Q071,Which of the following have you experienced in the past year? (Select all that apply),multi_choice,other,2024-10-12,Example Survey,NA
Q072,Do you think race relations in the United States are generally good or generally bad?,single_choice,social_security,2024-06-20,Example Survey,NA
Q073,"Should the federal government guarantee health insurance for all Americans, or should health insurance be left to private companies?",single_choice,healthcare,2024-08-30,Example Survey,NA
Q074,How much influence do you think wealthy donors have on political decisions?,numeric_scale,governance,2024-07-28,Example Survey,NA
Q075,Do you support or oppose the death penalty for persons convicted of murder?,single_choice,crime,2024-06-20,Example Survey,NA
Q076,Which political leader would you most like to see run for president in 2028?,single_choice,elections,2024-11-08,Example Survey,NA
Q077,How much do you trust each of the following institutions? Large corporations,numeric_scale,economy,2024-03-12,Example Survey,NA
Q078,Do you support or oppose requiring companies to provide paid family and medical leave?,single_choice,labor_unions,2024-07-08,Example Survey,NA
Q079,Which concern about AI and automation worries you most?,single_choice,other,2024-10-15,Example Survey,NA
Q080,Should the US prioritize developing new fossil fuel resources or transitioning to renewable energy?,single_choice,climate,2024-08-14,Example Survey,NA
Q081,How much has your opinion of Donald Trump changed since he left office in January 2021?,numeric_scale,governance,2024-10-20,Example Survey,NA
Q082,Do you support or oppose reparations for descendants of enslaved people in America?,single_choice,social_security,2024-06-20,Example Survey,NA
Q083,Which of the following social media platforms do you use regularly? (Select all that apply),multi_choice,other,2024-09-12,Example Survey,NA
Q084,"In your own words, what changes would you most like to see in your local schools?",open_end,education,2024-09-15,Example Survey,NA
Q085,How often do you discuss politics with friends or family?,numeric_scale,other,2024-08-03,Example Survey,NA
Q086,"Do you think the US is spending too much, too little, or about the right amount on foreign aid?",single_choice,foreign_policy,2024-08-20,Example Survey,NA
Q087,Which message about child care policy is more effective?,maxdiff_pair,other,2024-07-30,Example Survey,NA
Q088,How satisfied are you with the quality of public transportation in your area?,single_choice,housing,2024-06-18,Example Survey,NA
Q089,Do you support or oppose expanding access to mail-in voting?,single_choice,democracy_trust,2024-09-18,Example Survey,NA
Q090,Which economic system do you think is best for America?,single_choice,economy,2024-05-28,Example Survey,NA
Q091,How much do you trust each of the following institutions? Religious institutions,numeric_scale,other,2024-03-12,Example Survey,NA
Q092,"Do you think the legal system in the US treats all people fairly, or does it favor some groups?",single_choice,crime,2024-06-20,Example Survey,NA
Q093,What advice would you give to young people who are just starting to pay attention to politics?,open_end,other,2024-08-03,Example Survey,NA
Q094,Should the government do more or less to regulate what is taught in public schools?,single_choice,education,2024-09-15,Example Survey,NA
Q095,Do you support or oppose term limits for members of Congress?,single_choice,governance,2024-07-16,Example Survey,NA
Q096,Which aspect of inflation concerns you most?,single_choice,economy,2024-10-12,Example Survey,NA
Q097,Do you think social media companies should do more or less to moderate content on their platforms?,single_choice,other,2024-10-15,Example Survey,NA
Q098,How much have you heard about the conflict between Israel and Hamas that began in October 2023?,single_choice,foreign_policy,2024-11-02,Example Survey,NA
Q099,Which of these values is most important to you personally?,single_choice,other,2024-07-14,Example Survey,NA
Q100,"In your own words, how has the economy affected your life over the past year?",open_end,economy,2024-10-12,Example Survey,NA
Q101,Do you approve or disapprove of how your local police department is doing its job?,single_choice,crime,2024-10-08,Example Survey,NA
Q102,"Should the US do more to address global climate change even if it hurts the economy, or should the US prioritize economic growth even if it hurts the environment?",single_choice,climate,2024-06-28,Example Survey,NA
Q103,Which of these news sources do you trust most for accurate political information?,single_choice,democracy_trust,2024-09-12,Example Survey,NA
Q104,How much of a threat is China to the United States?,single_choice,foreign_policy,2024-08-20,Example Survey,NA
Q105,Do you support or oppose the US providing military aid to Ukraine?,single_choice,foreign_policy,2024-11-02,Example Survey,NA
Q106,"Thinking about your local community, what is one thing you would change if you could?",open_end,other,2024-06-10,Example Survey,NA
Q107,How often do you feel stressed about the state of politics in America?,numeric_scale,other,2024-10-20,Example Survey,NA
Q108,Do you think the next generation of Americans will be better off or worse off than people are today?,single_choice,other,2024-07-14,Example Survey,NA
Q109,Which is a bigger problem in this country: people being too easily offended or people saying offensive things?,single_choice,other,2024-06-15,Example Survey,NA
Q110,How much do you trust each of the following institutions? The military,numeric_scale,foreign_policy,2024-03-12,Example Survey,NA
Q111,Do you support or oppose making Election Day a national holiday?,single_choice,elections,2024-09-18,Example Survey,NA
Q112,Which factor is most important to you when deciding which news sources to trust?,single_choice,democracy_trust,2024-09-12,Example Survey,NA
Q113,"If you could ask the next president one question, what would it be?",open_end,governance,2024-11-10,Example Survey,NA
Q114,How much responsibility should the federal government have for ensuring all Americans have healthcare coverage?,numeric_scale,healthcare,2024-08-30,Example Survey,NA
Q115,Do you support or oppose statehood for Washington DC?,single_choice,governance,2024-05-20,Example Survey,NA
Q116,Which approach to policing reform would you prefer?,single_choice,crime,2024-06-20,Example Survey,NA
Q117,"On a scale from 0 to 100, how would you rate the state of democracy in America today?",scale_0_100,democracy_trust,2024-09-28,Example Survey,NA
Q118,Do you support or oppose allowing parents to use public funds (vouchers) to send their children to private schools?,single_choice,education,2024-09-15,Example Survey,NA
Q119,What is the biggest threat to democracy in America today?,open_end,democracy_trust,2024-09-28,Example Survey,NA
Q120,"Which of the following statements comes closest to your view about diversity, equity, and inclusion (DEI) programs?",single_choice,other,2024-08-05,Example Survey,NA
